epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
32,train,2206,379380.505079089,1334568180.50508,-2399703.1900875703,5383207.881213274,2429709.2714689104,0.0,0.0,0.0,0,-23725.989784103218,-574.1656926974924,2:2.521013;3:0.000000;6:22.940514,,13,0,2.2258316756549665,1.0,22.5395179014215,114.026171546588,5.38226674670426,22.539571987761,114.02615068834211,11.32831481937319,-2.145628088416993,5.989403588920937,5.946044886120981,8.708164274549972,1
33,train,2206,379381.005080047,1334568181.00508,-2399703.176893382,5383207.871663624,2429709.4502462316,0.0,0.0,0.0,0,-24013.003629967836,-574.1637188988158,2:2.223684;3:0.000000;6:23.057356,,13,0,2.2259768386367447,1.0,22.5395178028267,114.026171396589,5.37905214239899,22.539573527651065,114.02615060898863,11.383826270699501,-2.1383609812515783,6.17084588792433,6.004770769095308,8.871820481053103,1
34,train,2206,379381.505081004,1334568181.50508,-2399703.1115354644,5383207.785754322,2429709.6276325565,0.0,0.0,0.0,0,-24300.066952317855,-574.1654678021526,2:1.912162;3:0.000000;6:23.160770,,13,0,2.226122018045577,1.0,22.5395177040842,114.026171198729,5.38803802031823,22.539575370877326,114.0261503687077,11.354771744459867,-2.1427246625948952,6.385895253241123,5.9667301508931025,8.998488531894495,1
35,train,2206,379382.00508196,1334568182.00508,-2399703.347245056,5383207.544777207,2429709.6448874143,0.0,0.0,0.0,0,-24586.976124354405,-574.1538250761457,2:1.742982;3:0.000000;6:23.234739,,13,0,2.226267223840824,1.0,22.5395175980447,114.026170999372,5.39978408663996,22.539575944467046,114.02615341537887,11.246738695539534,-1.8088149978892516,6.461155760257909,5.846951065071196,8.89972933365056,1
36,train,2206,379382.505082916,1334568182.50508,-2399703.557500098,5383207.3224974545,2429709.7308443543,0.0,0.0,0.0,0,-24873.874656291253,-574.1417073176788,2:1.631494;3:0.000000;6:23.300018,,13,0,2.2264124536770473,1.0,22.5395176013749,114.026170943949,5.38567142755474,22.53957706783133,114.02615616203347,11.17124134209007,-1.5205732728215857,6.585185784588239,5.7855663169921225,8.896605673169748,1
37,train,2206,379383.005083874,1334568183.00508,-2399703.58523431,5383207.150641157,2429709.8768305327,0.0,0.0,0.0,0,-25160.943367635748,-574.1427538752516,2:1.468668;3:0.000000;6:23.383284,,13,0,2.226557696708871,1.0,22.539517602866,114.02617089715,5.37240974989279,22.539578789692957,114.02615708850267,11.092653814703226,-1.4204559275225983,6.775695773251101,5.720240288041097,8.980473105945778,1
38,train,2206,379383.505084832,1334568183.50508,-2399703.5411148635,5383207.049061612,2429710.0106197996,0.0,0.0,0.0,0,-25448.053811335274,-574.1469670805257,2:1.271311;3:0.000000;6:23.462567,,13,0,2.226702960580173,1.0,22.5395176999686,114.026170902382,5.34592468848456,22.53958028890603,114.02615709882241,11.041655105538666,-1.4199325427535567,6.930962371765182,5.6957264739096924,9.082716988346117,1
39,train,2206,379384.005085789,1334568184.00509,-2399703.647072495,5383206.863272722,2429710.051340127,0.0,0.0,0.0,0,-25735.069612829146,-574.1435928641034,2:1.135455;3:0.000000;6:23.528826,,13,0,2.2268482435672654,1.0,22.5395177991679,114.026170897584,5.31739490935744,22.539581066595613,114.02615877498525,10.940379651263356,-1.2470168996635786,7.006096778022187,5.622980753108681,9.069639229919243,1
40,train,2206,379384.505086747,1334568184.50509,-2399703.681114582,5383206.746595479,2429710.1219,0.0,0.0,0.0,0,-26022.091441664765,-574.1413202746842,2:0.994750;3:0.000000;6:23.588775,,13,0,2.2269935492708295,1.0,22.5395178971486,114.026170844732,5.31002701154842,22.539581976014876,114.02615953906063,10.881800347939134,-1.1629819073338963,7.095953640296996,5.5717692632962645,9.096686083703403,1
41,train,2206,379385.005087705,1334568185.00509,-2399703.6948408945,5383206.63458868,2429710.2025519726,0.0,0.0,0.0,0,-26309.15921055759,-574.1419618454117,2:0.864532;3:0.000000;6:23.650548,,13,0,2.2271388707460384,1.0,22.5395179997525,114.026170800259,5.30039157559906,22.539582983474205,114.02616010426593,10.823389707133174,-1.1002660365162598,7.1961552823447565,5.522993955360873,9.137762222211864,1
