epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
31,train,2206,379380.005078135,1334568180.00508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2256865513696655,1.0,22.539518002058,114.026171703568,5.38333621985763,22.539598764632355,114.02618149449164,8.905747724696994,1.0071637316664193,8.943468221104462,3.5224051230847064,9.66474730427149,1
32,train,2206,379380.505079089,1334568180.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2258317068166034,1.0,22.5395179014215,114.026171546588,5.38226674670426,22.539598764632355,114.02618149449164,8.905747724696994,1.0233118047987184,8.954612484391216,3.5234745772719913,9.67714445960881,1
33,train,2206,379381.005080047,1334568181.00508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.225976880789436,1.0,22.5395178028267,114.026171396589,5.37905214239899,22.539598764632355,114.02618149449164,8.905747724696994,1.0387417646131882,8.965530654730332,3.526689164149958,9.690059898421358,1
34,train,2206,379381.505081004,1334568181.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2261220732758176,1.0,22.5395177040842,114.026171198729,5.38803802031823,22.539598764632355,114.02618149449164,8.905747724696994,1.0590950452993482,8.976465181293104,3.517703267096504,9.699115719553328,1
35,train,2206,379382.00508196,1334568182.00508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.226267284264621,1.0,22.5395175980447,114.026170999372,5.39978408663996,22.539598764632355,114.02618149449164,8.905747724696994,1.0796023180212473,8.988207761656696,3.5059571821961053,9.707994421875972,1
36,train,2206,379382.505082916,1334568182.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2264125137451356,1.0,22.5395176013749,114.026170943949,5.38567142755474,22.539598764632355,114.02618149449164,8.905747724696994,1.0853035202483272,8.987838982636358,3.520069839602744,9.713394102194252,1
37,train,2206,379383.005083874,1334568183.00508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.226557761706367,1.0,22.539517602866,114.02617089715,5.37240974989279,22.539598764632355,114.02618149449164,8.905747724696994,1.0901175967454702,8.987673862823804,3.533331516387035,9.718594005508933,1
38,train,2206,379383.505084832,1334568183.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.226703028137078,1.0,22.5395176999686,114.026170902382,5.34592468848456,22.539598764632355,114.02618149449164,8.905747724696994,1.089579395008481,8.976920936028504,3.5598165937644106,9.718260488944221,1
39,train,2206,379384.005085789,1334568184.00509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2268483130256005,1.0,22.5395177991679,114.026170897584,5.31739490935744,22.539598764632355,114.02618149449164,8.905747724696994,1.0900729528645294,8.965935825604403,3.588346388161579,9.718667299216264,1
40,train,2206,379384.505086747,1334568184.50509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.226993616361118,1.0,22.5395178971486,114.026170844732,5.31002701154842,22.539598764632355,114.02618149449164,8.905747724696994,1.0955096844977321,8.955085661092419,3.5957143003120287,9.711995778201295,1
41,train,2206,379385.005087705,1334568185.00509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.227138938132259,1.0,22.5395179997525,114.026170800259,5.30039157559906,22.539598764632355,114.02618149449164,8.905747724696994,1.1000844918984778,8.943723533280306,3.605349750734168,9.705612981887667,1
42,train,2206,379385.505088662,1334568185.50509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2272842783276414,1.0,22.5395180541662,114.026170651541,5.3260213509904,22.539598764632355,114.02618149449164,8.905747724696994,1.1153826788429102,8.937697882083501,3.579719980702886,9.692312267560624,1
43,train,2206,379386.00508962,1334568186.00509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.227429636935915,1.0,22.5395180988706,114.026170504638,5.34953088073293,22.539598764632355,114.02618149449164,8.905747724696994,1.1304941602025471,8.932747417021991,3.5562104561259793,9.68083809754222,1
44,train,2206,379386.505090578,1334568186.50509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2275750139459536,1.0,22.5395181537499,114.026170354918,5.37596895967835,22.539598764632355,114.02618149449164,8.905747724696994,1.1458954196742666,8.92667020682996,3.529772382277418,9.667357982666438,1
