epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
33,2206,379381.005080047,1334568181.00508,-2399703.83495703,5383204.09591115,2429701.44900606,22.5395178028267,114.026171396589,5.37905214239899,0.00874372406229579,-0.0166464923564015,0.000972013654603473,0.018828256127269,1
34,2206,379381.505081004,1334568181.50508,-2399703.82145281,5383204.11560681,2429701.44235124,22.5395177040842,114.026171198729,5.38803802031823,0.035627573256796,0.0687457073745475,-0.0202935407403994,0.0800445129560892,1
35,2206,379382.00508196,1334568182.00508,-2399703.80897211,5383204.13797651,2429701.43600813,22.5395175980447,114.026170999372,5.39978408663996,0.00572905718066979,-0.00484818008279413,0.0014221394427655,0.00763867965614838,1
36,2206,379382.505082916,1334568182.50508,-2399703.79840023,5383204.12826331,2429701.43093906,22.5395176013749,114.026170943949,5.38567142755474,0.028268635778143,-0.0264990149537668,-0.0158486702510887,0.0418627986523239,1
37,2206,379383.005083874,1334568183.00508,-2399703.78899036,5383204.11897811,2429701.4260081,22.539517602866,114.02617089715,5.37240974989279,0.00219452855378281,-0.00502696369285382,0.00156525209391079,0.00570406290814984,1
38,2206,379383.505084832,1334568183.50508,-2399703.77784398,5383204.09265164,2429701.4257874,22.5395176999686,114.026170902382,5.34592468848456,0.033214622389933,-0.0771569538353921,-0.00172994357428509,0.0840202319113252,1
39,2206,379384.005085789,1334568184.00509,-2399703.76494998,5383204.0649391,2429701.42499735,22.5395177991679,114.026170897584,5.31739490935744,0.00996969802371439,-0.0120168795162763,-0.000293801743358857,0.0156168688109094,1
40,2206,379384.505086747,1334568184.50509,-2399703.75552017,5383204.05713844,2429701.43219446,22.5395178971486,114.026170844732,5.31002701154842,0.0233768780239351,-0.0186178520534568,0.0215381683494265,0.0368374203369153,1
41,2206,379385.005087705,1334568185.00509,-2399703.74594503,5383204.0468947,2429701.43899523,22.5395179997525,114.026170800259,5.30039157559906,0.0107987826628789,-0.0196000174430372,-0.000450551787631163,0.0223825241579406,1
42,2206,379385.505088662,1334568185.50509,-2399703.74066996,5383204.07263491,2429701.45438503,22.5395180541662,114.026170651541,5.3260213509904,0.0106553345532582,0.0862706247046794,0.045488925154279,0.098109118603059,1
43,2206,379386.00508962,1334568186.00509,-2399703.73493603,5383204.09688685,2429701.46796904,22.5395180988706,114.026170504638,5.34953088073293,0.0125327587615734,-0.0211037912641326,-0.00551412967262107,0.0251564241088107,1
44,2206,379386.505090578,1334568186.50509,-2399703.72986272,5383204.12333285,2429701.4837163,22.5395181537499,114.026170354918,5.37596895967835,0.00887851430468221,0.0904610284999993,0.0497493409480486,0.103619605376113,1
45,2206,379387.005091536,1334568187.00509,-2399703.7249396,5383204.15093213,2429701.49896941,22.5395182006498,114.026170201966,5.40324698076014,0.011857391906804,-0.0123222351627361,-0.005657532547103,0.0180122984862799,1
46,2206,379387.505092494,1334568187.50509,-2399703.71899196,5383204.17697184,2429701.50741773,22.5395181971686,114.02617004609,5.4262156860957,0.0124779688869298,0.0822034143996652,0.0277179009250799,0.0876434999198391,1
47,2206,379388.005093452,1334568188.00509,-2399703.71191727,5383204.19886749,2429701.51495763,22.539518200801,114.026169896609,5.44491643724175,0.0161720505999089,-0.0252672540815707,-0.00806704457482075,0.0310651984960794,1
48,2206,379388.505094409,1334568188.50509,-2399703.70618133,5383204.2108296,2429701.51909402,22.5395182055654,114.026169798333,5.45443613003808,0.00888060331314168,0.0490727615503027,0.0163047650246479,0.0524675747856448,1
49,2206,379389.005095364,1334568189.0051,-2399703.70092809,5383204.22390431,2429701.52295701,22.5395182038515,114.026169699939,5.46497112539133,0.0141029856005397,-0.0181590998064438,-0.00821461094521592,0.024415710958534,1
50,2206,379389.505096321,1334568189.5051,-2399703.69401887,5383204.2345275,2429701.52579844,22.5395182037019,114.026169596544,5.47242371442265,0.0142790905777498,0.0392954694762294,0.011773858889138,0.0434355856668953,1
51,2206,379390.005097278,1334568190.0051,-2399703.68590205,5383204.24185154,2429701.52692617,22.5395182013917,114.026169495486,5.47598215044248,0.019575840615782,-0.0282321542687757,-0.014401578964523,0.0372514905358409,1
52,2206,379390.505098237,1334568190.5051,-2399703.66428624,5383204.25645187,2429701.52240884,22.5395181480187,114.02616924577,5.47843859907406,0.0554534077972211,0.0567984634741465,-0.00633306996247114,0.0796319889522949,1
53,2206,379391.005099188,1334568191.0051,-2399703.64188141,5383204.26882408,2429701.51792881,22.5395181031133,114.026168997866,5.47873300410311,0.0231073155327229,-0.033682359050572,-0.0138286691486796,0.0431240238470868,1
54,2206,379391.505100122,1334568191.5051,-2399703.63513218,5383204.27851807,2429701.51511388,22.5395180584987,114.026168899571,5.48329369559912,0.0089491862397212,0.0457292898188768,-0.00222902689034855,0.0466500208206807,1
55,2206,379392.005101142,1334568192.0051,-2399703.62787521,5383204.28783135,2429701.51090235,22.539518004155,114.026168798273,5.48680692877157,0.0240986706645339,-0.0325290103553018,-0.0191891586028217,0.0448007393954302,1
56,2206,379393.000103014,1334568193.0001,-2399703.62799769,5383204.28799608,2429701.48699746,22.5395178040812,114.026168798709,5.47782872344971,0.0224233003071838,-0.0380129936923873,-0.0247036645952137,0.0505772985691846,1
57,2206,379394.000104928,1334568194.0001,-2399703.62399848,5383204.30399762,2429701.46799714,22.5395176006535,114.026168699865,5.48254038291526,0.0144626204938491,-0.0226255614008074,-0.027259448911991,0.038264356459194,1
58,2206,379395.000106856,1334568195.00011,-2399703.62799845,5383204.31299757,2429701.45999766,22.5395174998415,114.026168699758,5.48857051228409,0.0145013162846587,-0.0227437086693871,-0.0219079277275446,0.0347494137409681,1
59,2206,379396.000108788,1334568196.00011,-2399703.61699896,5383204.2379982,2429701.40599844,22.5395173020785,114.026168898945,5.40046616593472,0.00954028683081134,-0.0165250497041553,-0.0143605245056523,0.0238813526546634,1
60,2206,379397.000110714,1334568197.00011,-2399703.60699918,5383204.16499842,2429701.38899878,22.539517405182,114.026169099094,5.32860729253647,0.00743284977067497,-0.014269483417147,-0.0109953194751489,0.0194874950433925,1
