epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
107,train,2206,379444.00020086,1334568244.0002,20,20,1,2,-2399700.5828098287,5383203.040671881,2429708.381725957,-60230.26480157022,22.5395078951591,114.026169100076,5.4842888386325,0.0279235156208245,1
108,train,2206,379445.000202773,1334568245.0002,20,20,1,2,-2399700.876224825,5383203.603848123,2429708.4044282665,-60804.0663547421,22.5395080954834,114.02616890389,5.56910035207458,0.045404959264115,1
109,train,2206,379446.000204689,1334568246.0002,20,20,1,2,-2399701.060348636,5383203.998603832,2429708.276672487,-61378.08242370963,22.5395082966396,114.026168602108,5.65108255228498,0.0466359621861112,1
110,train,2206,379447.000206604,1334568247.00021,20,20,1,2,-2399701.118484965,5383204.398372225,2429708.3357378496,-61952.10002920694,22.5395083988814,114.026168398006,5.73336854466006,0.0453069410090965,1
111,train,2206,379448.000208525,1334568248.00021,20,20,1,2,-2399701.2076037475,5383204.729336047,2429708.0715800524,-62526.452683396856,22.5395084998012,114.026168297668,5.80296681438382,0.0326482932456614,1
112,train,2206,379449.000210437,1334568249.00021,20,20,1,2,-2399701.352662389,5383204.929841187,2429707.8875947203,-63100.678040580104,22.5395086001452,114.026168100622,5.87010467656862,0.0388058250691288,1
113,train,2206,379450.00021235,1334568250.00021,20,20,1,2,-2399701.2729485026,5383205.048531083,2429707.6759613235,-63675.018253838556,22.5395087038478,114.026167896726,5.93113421336238,0.0264086267013871,1
114,train,2206,379451.000214265,1334568251.00021,20,20,1,2,-2399701.2187372018,5383204.886173618,2429707.4501072955,-64249.42281080634,22.539508697693,114.026167797464,5.98756273710631,0.0259835647014953,1
115,train,2206,379452.000216181,1334568252.00022,20,20,1,2,-2399701.2629915937,5383204.758117723,2429707.355133633,-64823.776707343124,22.5395088982388,114.026167800142,6.02535913300157,0.0364092279076672,1
116,train,2206,379453.000218097,1334568253.00022,20,20,1,2,-2399701.3072251496,5383204.736874577,2429707.321833323,-65398.02965273622,22.5395090987828,114.02616780282,6.06315766137402,0.0380571154043671,1
117,train,2206,379454.000220014,1334568254.00022,20,20,1,2,-2399701.3407218335,5383204.646926698,2429707.4076808314,-65972.20580102938,22.5395091974959,114.026167897492,6.07595411485114,0.0230532485547994,1
118,train,2206,379455.00022193,1334568255.00022,20,20,1,2,-2399701.161477393,5383204.061783687,2429707.241501511,-66546.71449340996,22.539509403263,114.026167905304,6.09409729780749,0.0190350682660552,1
119,train,2206,379456.000223848,1334568256.00022,20,20,1,2,-2399701.0483456547,5383203.768257302,2429707.2440553857,-67121.17413823446,22.539509502608,114.026167800362,6.13020290189222,0.00818984592260893,1
120,train,2206,379457.00022576,1334568257.00023,21,20,1,2,-2399700.7186150374,5383203.323953718,2429706.579584141,-67696.08194538023,22.5395096982045,114.026167700448,6.16149685246915,0.00312849157867405,1
